4000,Assam,Kamrup,Guwahati Neuro Research Centre Ltd,https://www.medindia.net/directories/hospitals/guwahati-neuro-research-centre-ltd-kamrup-assam-101462.htm,Kamrup - 781006, Assam
4001,Assam,Kamrup,Hajo Fru,https://www.medindia.net/directories/hospitals/hajo-fru-kamrup-assam-101726.htm,Kamrup - 781102, Assam
4002,Assam,Kamrup,Hayat Hospital,https://www.medindia.net/directories/hospitals/hayat-hospital-kamrup-assam-83248.htm,Kamrup - 781034, Assam
4003,Assam,Kamrup,Hm Hospital and Research Centre Pvt.Ltd,https://www.medindia.net/directories/hospitals/hm-hospital-and-research-centre-pvtltd-kamrup-assam-88249.htm,Kamrup - 781038, Assam
4004,Assam,Kamrup,Institute Of Child and Woman Health Care(A Unit Of Dr Kuntal Goswami Memorial Trust),https://www.medindia.net/directories/hospitals/institute-of-child-and-woman-health-carea-unit-of-dr-kuntal-goswami-memorial-trust-kamrup-assam-93526.htm,Kamrup - 781024, Assam
4005,Assam,Kamrup,International Hospital,https://www.medindia.net/directories/hospitals/international-hospital-kamrup-assam-93724.htm,Kamrup - 781005, Assam
4006,Assam,Kamrup,Kumars Nursing Home,https://www.medindia.net/directories/hospitals/kumars-nursing-home-kamrup-assam-85.htm,Kamrup - 781009, Assam
4007,Assam,Kamrup,North And East Cancer Hospital,https://www.medindia.net/directories/hospitals/north-and-east-cancer-hospital-kamrup-assam-39347.htm,Kamrup - 781007, Assam
4008,Assam,Kamrup,North East Cancer Hospital And Research Institute,https://www.medindia.net/directories/hospitals/north-east-cancer-hospital-and-research-institute-kamrup-assam-64478.htm,Kamrup - 781023, Assam
4009,Assam,Kamrup,Prarthna Hospital,https://www.medindia.net/directories/hospitals/prarthna-hospital-kamrup-assam-69789.htm,Kamrup - 781029, Assam
4010,Assam,Kamrup,Primary Health Center,https://www.medindia.net/directories/hospitals/primary-health-center-kamrup-assam-92399.htm,Kamrup - 781019, Assam
4011,Assam,Kamrup,Primary Health Center,https://www.medindia.net/directories/hospitals/primary-health-center-kamrup-assam-92400.htm,Kamrup - 781011, Assam
4012,Assam,Kamrup,Primary Health Center,https://www.medindia.net/directories/hospitals/primary-health-center-kamrup-assam-92398.htm,Kamrup - 781031, Assam
4013,Assam,Kamrup,Primary Health Center,https://www.medindia.net/directories/hospitals/primary-health-center-kamrup-assam-92402.htm,Kamrup - 781103, Assam
4014,Assam,Kamrup,Primary Health Center,https://www.medindia.net/directories/hospitals/primary-health-center-kamrup-assam-92375.htm,Kamrup - 781381, Assam
4015,Assam,Kamrup,Primary Health Center,https://www.medindia.net/directories/hospitals/primary-health-center-kamrup-assam-92392.htm,Kamrup - 781020, Assam
