29,Andhra Pradesh,Anakapalli,,https://www.medindia.net/directories/hospitals/anakapalle-orthopaedic-and-multispeciality-hospital-anakapalli-andhra-pradesh-81727.htm,
30,Andhra Pradesh,Anakapalli,,https://www.medindia.net/directories/hospitals/bhpv-hospital-anakapalli-andhra-pradesh-92132.htm,
31,Andhra Pradesh,Anakapalli,,https://www.medindia.net/directories/hospitals/drm-jaganmohan-rao-anakapalli-andhra-pradesh-69576.htm,
32,Andhra Pradesh,Anakapalli,,https://www.medindia.net/directories/hospitals/katyayani-skin-hospital-anakapalli-andhra-pradesh-92105.htm,
33,Andhra Pradesh,Anakapalli,,https://www.medindia.net/directories/hospitals/lalita-hospital-anakapalli-andhra-pradesh-92128.htm,
34,Andhra Pradesh,Anakapalli,,https://www.medindia.net/directories/hospitals/maternity-hospital-anakapalli-andhra-pradesh-92121.htm,
35,Andhra Pradesh,Anakapalli,,https://www.medindia.net/directories/hospitals/mother-child-hospital-anakapalli-andhra-pradesh-92096.htm,
36,Andhra Pradesh,Anakapalli,,https://www.medindia.net/directories/hospitals/new-chaitanya-maternity-centre-anakapalli-andhra-pradesh-100125.htm,
37,Andhra Pradesh,Anakapalli,,https://www.medindia.net/directories/hospitals/new-government-hospital-anakapalli-andhra-pradesh-92125.htm,
38,Andhra Pradesh,Anantapur,,https://www.medindia.net/directories/hospitals/sri-prakash-eye-hospital-anantapur-andhra-pradesh-8562.htm,Anantapur - 515001, Andhra Pradesh
39,Andhra Pradesh,Anantapur,Sri Sai Balaji Hospital,https://www.medindia.net/directories/hospitals/sri-sai-balaji-hospital-anantapur-andhra-pradesh-9505.htm,Anantapur - 515001, Andhra Pradesh
40,Andhra Pradesh,Anantapur,Sri Sai Venkateshwara Surgical Clinic,https://www.medindia.net/directories/hospitals/sri-sai-venkateshwara-surgical-clinic-anantapur-andhra-pradesh-10176.htm,Anantapur - 515001, Andhra Pradesh
41,Andhra Pradesh,Anantapur,Suma Eye Clinic,https://www.medindia.net/directories/hospitals/suma-eye-clinic-anantapur-andhra-pradesh-10287.htm,Anantapur - 515001, Andhra Pradesh
42,Andhra Pradesh,Anantapur,,https://www.medindia.net/directories/hospitals/swetha-ent-hospital-anantapur-andhra-pradesh-23583.htm,
43,Andhra Pradesh,Anantapur,,https://www.medindia.net/directories/hospitals/aaditya-hospital-anantapur-andhra-pradesh-34739.htm,
44,Andhra Pradesh,Anantapur,,https://www.medindia.net/directories/hospitals/aasha-hospital-anantapur-andhra-pradesh-88253.htm,
