IP Address,Port Number
3.123.150.192,80
39.102.214.208,9098
54.193.120.204,11
8.213.195.191,3128
13.38.176.104,3128
3.129.184.210,80
118.113.244.231,2324
36.111.142.177,12798
8.213.197.208,9080
39.102.213.187,9080
52.63.129.110,3128
58.243.224.244,8085
3.97.176.251,3128
155.54.239.64,80
8.213.128.90,4000
13.37.89.201,3128
8.211.49.86,100
203.19.38.114,1080
91.92.155.207,3128
83.168.72.172,8081
158.255.77.168,80
182.253.233.58,8080
39.102.210.222,8080
23.247.136.248,80
13.208.56.180,80
118.113.246.42,2324
97.74.87.226,80
101.47.75.23,80
54.233.119.172,3128
106.120.183.118,12700
142.93.202.130,3128
13.36.113.81,3128
4.175.200.138,8080
67.43.236.20,7575
3.78.92.159,3128
123.154.152.224,8085
15.236.203.245,3128
3.127.121.101,3128
188.191.165.159,8080
106.38.26.22,2080
8.130.36.245,1027
8.211.49.86,7777
47.238.60.156,100
47.251.87.74,3128
47.237.113.119,9080
36.111.142.2,12798
23.247.136.254,80
124.122.2.175,8080
36.111.128.61,12798
3.139.242.184,80
36.103.167.209,7890
8.213.129.20,8058
8.134.149.133,9098
52.67.10.183,80
72.10.164.178,9939
31.47.58.37,80
91.241.217.58,9090
39.102.209.121,8081
47.119.164.33,9080
39.102.211.64,80
171.38.151.108,8085
47.251.87.74,8081
113.195.172.194,655
59.48.221.174,2023
47.251.74.38,8008
61.239.128.81,8080
54.86.191.185,11
47.238.60.156,81
13.37.73.214,80
31.148.207.153,80
39.102.211.64,9098
110.80.19.82,5020
45.186.6.104,3128
39.102.213.213,8008
59.39.196.217,2324
52.65.193.254,3128
47.119.164.33,8090
8.215.3.250,80
171.38.145.185,8085
189.240.60.162,9090
112.120.100.163,3128
101.126.22.66,7777
67.43.227.229,17659
139.162.78.109,8080
8.213.128.90,86
3.141.217.225,80
8.220.204.92,90
31.214.171.217,8060
154.16.146.45,80
80.249.112.162,80
44.219.175.186,80
72.10.160.171,10909
60.188.49.53,1999
47.120.0.231,9080
47.91.110.148,8008
159.224.232.194,8888
98.8.195.160,443
106.120.183.118,12798
65.0.78.211,3128
185.252.147.221,8888
